Id,ProjectName,Country,Town,Latitude,Longitude,Scope,Technology,Capacitym3d,Feedwater,Offtaker,Units,Contractdate,Onlinedate,Status,Rawwatersalinity,Powerconsumption,Contractscope,Dealstructure,EstimatedEPCcost,Currency,EPCContractordesal1,EPCContractordesal2,EPCContractordesal3,EPCContractordesal4,EPCContractordesal5
51870,Al Khafji,Saudi Arabia,Al Khafji,28.4130556,48.4841667,Desalination Plant,MED (Multi-effect distillation),5680,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),2,,,Planned,,,EPC,,,,,,,,
53314,Al Khafji solar-powered SWRO,Saudi Arabia,,,,Desalination Plant,RO (Reverse osmosis),30000,Seawater (TDS 20000ppm - 50000ppm),,,,2012,Planned,,,,,,,,,,,
44430,Al Khobar 2 Expansion,Saudi Arabia,Al Khobar,26.2794444,50.2083333,Desalination Plant,,,,,,,,Planned,,,EPC,,,,,,,,
44431,Al Waji 4,Saudi Arabia,Al Wadjh,26.22243477,36.47735596,Desalination Plant,MED (Multi-effect distillation),11000,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,,,Planned,,,EPC,,,,,,,,
44432,Duba Phase 4,Saudi Arabia,Duba,27.35,35.6666667,Desalination Plant,MED (Multi-effect distillation),9000,,,,,,Planned,,,EPC,,,,,,,,
53936,Gasan Industrial RO Plant,Saudi Arabia,Al Jubail,27.065556,49.611667,Desalination Plant,RO (Reverse osmosis),83000,,Industry (TDS <10ppm),,,2012,Planned,,,,,,,,,,,
44433,Haql Phase 3,Saudi Arabia,Al Haql,29.2994444,34.9511111,Desalination Plant,MED (Multi-effect distillation),9000,,,,,,Planned,,,EPC,,,,,,,,
44435,Jizan Economic City,Saudi Arabia,Jizan,16.8891667,42.5511111,Power/Desal Plant,RO (Reverse osmosis),12000,Seawater (TDS 20000ppm - 50000ppm),,,2010,2011,Planned,,,,BOO,,,,,,,
52730,Jubail RO upgrade,Saudi Arabia,Al Jubail,27.065556,49.611667,Desalination Plant,RO (Reverse osmosis),78182,Seawater (TDS 20000ppm - 50000ppm),,,,,Planned,,,EPC,,,,,,,,
50926,Khobar 4 IWPP,Saudi Arabia,Al Khobar,26.2794444,50.2083333,Desalination Plant,,250000,Seawater (TDS 20000ppm - 50000ppm),,,,,Planned,,,,,,,,,,,
51871,King Abdullah Economic City,Saudi Arabia,Jeddah,21.5169444,39.2191667,Desalination Plant,RO (Reverse osmosis),70000,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,2009,,Planned,,,,BOT,52000000,USD,Huta Marine,,,,
54736,Rabigh IWSPP stage 2,Saudi Arabia,Rabigh,22.7986111,39.0322222,Desalination Plant,,96000,,,,,,Planned,,,EPC,,,,,,,,
54739,Rabigh phase 3,Saudi Arabia,Rabigh,22.7986111,39.0322222,Desalination Plant,MED (Multi-effect distillation),9000,,,,,2014,Planned,,,,,,,,,,,
51909,Ras Tanura,Saudi Arabia,Ras Tanura,26.6438889,50.1591667,Desalination Plant,,150000,Seawater (TDS 20000ppm - 50000ppm),,,,,Planned,0,,,,,,,,,,
50927,Shoaiba 4 IWPP,Saudi Arabia,Shoaiba,20.73171285,39.5255127,Desalination Plant,,650000,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),,,,Planned,,,,,,,,,,,
50928,Shuqaiq 3 IWPP,Saudi Arabia,Shuqaiq,25.4833333,49.6,Desalination Plant,MSF (Multi-stage flash),175000,Seawater (TDS 20000ppm - 50000ppm),,,,,Planned,,,,,,,,,,,
54740,Wasia BWRO,Saudi Arabia,Riyadh,24.6408333,46.7727778,Desalination Plant,RO (Reverse osmosis),300000,Brackish water or inland water (TDS 3000ppm - <20000ppm),,,,,Planned,,,EPC,,450000000,USD,,,,,
50896,Yanbu,Saudi Arabia,Yanbu,24.0852778,38.0486111,Desalination Plant,RO (Reverse osmosis),6000,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,,Planned,,,,BOO,,,,,,,
4477,Yanbu 3,Saudi Arabia,Yanbu,24.0852778,38.0486111,Power/Desal Plant,,550000,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,,Planned,,,EPC,BOT,,,,,,,
54675,10 Cities,Saudi Arabia,Riyadh,24.6408333,46.7727778,Desalination Plant,RO (Reverse osmosis),300,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,2010,2012,Construction,,,,,,,GETCO,,,,
54424,6 Cities,Saudi Arabia,Riyadh,24.6408333,46.7727778,Desalination Plant,RO (Reverse osmosis),800,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,2010,2012,Construction,,,,,,,GETCO,,,,
53419,Al Dahran Tower,Saudi Arabia,Al Khobar,26.2794444,50.2083333,Desalination Plant,RO (Reverse osmosis),1000,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),2,2010,2011,Construction,,,,,,,AES Arabia Ltd.,,,,
53451,Al Dura,Saudi Arabia,Dura,16.5841667,42.8430556,Desalination Plant,RO (Reverse osmosis),1000,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,2010,2010,Construction,,,,,,,Wetico,,,,
53675,Al Khoraef (ADC),Saudi Arabia,Jeddah,21.5169444,39.2191667,Desalination Plant,RO (Reverse osmosis),5500,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),,2010,2010,Construction,,,,,,,,,,,
53526,Al Manifa,Saudi Arabia,,,,Desalination Plant,RO (Reverse osmosis),2180,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,2010,2010,Construction,,,,,,,Wetico,,,,
53820,Al Zamil Village,Saudi Arabia,Dammam,26.4258333,50.1141667,Desalination Plant,RO (Reverse osmosis),325,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),1,2009,2011,Construction,,,,,,,AES Corporation,,,,
51762,Al-Afaliq Site,Saudi Arabia,Al Hassa,21.54762072,39.23300172,Desalination Plant,RO (Reverse osmosis),200,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),1,2008,2009,Construction,,,,,,,VEOLIA METITO ARABIA INDUSTRIES,,,,
53778,Al-Jouf,Saudi Arabia,Al Jouf,29.5,38.75,Desalination Plant,RO (Reverse osmosis),100,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,2010,2010,Construction,,,,,,,Wetico,,,,
53504,Alfadl-2000,Saudi Arabia,Jeddah,21.5169444,39.2191667,Desalination Plant,RO (Reverse osmosis),2200,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities drinking water in  (TDS 10ppm - <1000ppm),2,2010,2011,Construction,,,,,,,International Hydro Systems,,,,
54345,Bohairat City (Boot),Saudi Arabia,Jeddah,21.5169444,39.2191667,Desalination Plant,RO (Reverse osmosis),5000,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities drinking water in  (TDS 10ppm - <1000ppm),,2011,2012,Construction,,,,,,,,,,,
53435,Busaithah,Saudi Arabia,Saudi Arabia,24.046464,44.67480496,Desalination Plant,RO (Reverse osmosis),35000,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,2010,2010,Construction,,,,,,,Wetico,,,,
53892,Business Park Project,Saudi Arabia,Dhahran,26.3041667,50.1325,Desalination Plant,RO (Reverse osmosis),100,Brackish water or inland water (TDS 3000ppm - <20000ppm),Irrigation (TDS <1000ppm),1,2010,2010,Construction,,,,,,,Veolia Water Solutions & Technologies,,,,
53837,Carlton Al Moaibed Hotel,Saudi Arabia,Al Khobar,26.2794444,50.2083333,Desalination Plant,RO (Reverse osmosis),250,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),1,2010,2010,Construction,,,,,,,Veolia Water Solutions & Technologies,,,,
