Lat,Lon,Mcc,Mnc,Lac,Cellid,Range,Nbsamples,Createdat,Updatedat,Needscomputation,Country,Operator,,
24.085486,38.061759,420,1,913,38562,0,"<ahref=""/mesure/map/1342958"">1</a>",MonApr0212:38:46+02002012,MonApr0212:38:47+02002012,TRUE,SaudiArabia,SaudiTelecom/AlJawal,"<ahref=""/cell/show/1342958"">Show</a>","<ahref=""/cell/map/1342958"">Map</a>"
21.613157,39.152421,420,3,2135,6642134,0,"<ahref=""/mesure/map/1342140"">1</a>",SunApr0121:26:50+02002012,SunApr0121:26:50+02002012,TRUE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/1342140"">Show</a>","<ahref=""/cell/map/1342140"">Map</a>"
21.557793,39.175523,420,3,2311,6835773,0,"<ahref=""/mesure/map/1334206"">7</a>",WedMar2816:33:22+02002012,WedMar2816:37:39+02002012,TRUE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/1334206"">Show</a>","<ahref=""/cell/map/1334206"">Map</a>"
24.72316253,46.81074006,420,4,21102,7175136,6000,"<ahref=""/mesure/map/1298855"">3</a>",WedMar0709:18:41+01002012,FriMar2315:03:02+01002012,FALSE,SaudiArabia,none,"<ahref=""/cell/show/1298855"">Show</a>","<ahref=""/cell/map/1298855"">Map</a>"
24.73193963,46.80428077,420,4,21102,7175135,0,"<ahref=""/mesure/map/1298854"">1</a>",WedMar0709:16:56+01002012,WedMar0709:16:56+01002012,TRUE,SaudiArabia,none,"<ahref=""/cell/show/1298854"">Show</a>","<ahref=""/cell/map/1298854"">Map</a>"
24.73762072,46.79997381,420,4,21115,7307337,0,"<ahref=""/mesure/map/1298853"">1</a>",WedMar0709:16:01+01002012,WedMar0709:16:01+01002012,TRUE,SaudiArabia,none,"<ahref=""/cell/show/1298853"">Show</a>","<ahref=""/cell/map/1298853"">Map</a>"
24.73698604,46.79933368,420,4,21115,7307338,6000,"<ahref=""/mesure/map/1298852"">2</a>",WedMar0709:15:41+01002012,FriApr0616:50:47+02002012,FALSE,SaudiArabia,none,"<ahref=""/cell/show/1298852"">Show</a>","<ahref=""/cell/map/1298852"">Map</a>"
24.73349049,46.79271072,420,4,21115,7307339,0,"<ahref=""/mesure/map/1298851"">1</a>",WedMar0709:14:54+01002012,WedMar0709:14:54+01002012,TRUE,SaudiArabia,none,"<ahref=""/cell/show/1298851"">Show</a>","<ahref=""/cell/map/1298851"">Map</a>"
24.73199608,46.79034342,420,4,21115,7304707,0,"<ahref=""/mesure/map/1298850"">1</a>",WedMar0709:14:37+01002012,WedMar0709:14:37+01002012,TRUE,SaudiArabia,none,"<ahref=""/cell/show/1298850"">Show</a>","<ahref=""/cell/map/1298850"">Map</a>"
24.73216376,46.78532124,420,4,21115,7304709,0,"<ahref=""/mesure/map/1298849"">1</a>",WedMar0709:13:14+01002012,WedMar0709:13:14+01002012,TRUE,SaudiArabia,none,"<ahref=""/cell/show/1298849"">Show</a>","<ahref=""/cell/map/1298849"">Map</a>"
24.73403146,46.7841305,420,4,21115,7304518,0,"<ahref=""/mesure/map/1298848"">1</a>",WedMar0709:12:57+01002012,WedMar0709:12:57+01002012,TRUE,SaudiArabia,none,"<ahref=""/cell/show/1298848"">Show</a>","<ahref=""/cell/map/1298848"">Map</a>"
24.7391342,46.78021255,420,4,21115,7308298,0,"<ahref=""/mesure/map/1298847"">1</a>",WedMar0709:10:51+01002012,WedMar0709:10:51+01002012,TRUE,SaudiArabia,none,"<ahref=""/cell/show/1298847"">Show</a>","<ahref=""/cell/map/1298847"">Map</a>"
24.74058661,46.77915584,420,4,21115,7308297,0,"<ahref=""/mesure/map/1298846"">1</a>",WedMar0709:10:19+01002012,WedMar0709:10:19+01002012,TRUE,SaudiArabia,none,"<ahref=""/cell/show/1298846"">Show</a>","<ahref=""/cell/map/1298846"">Map</a>"
24.76857291,46.76804571,420,4,21115,7310488,6000,"<ahref=""/mesure/map/1298839"">1</a>",WedMar0708:31:45+01002012,SunMar2517:16:34+02002012,FALSE,SaudiArabia,none,"<ahref=""/cell/show/1298839"">Show</a>","<ahref=""/cell/map/1298839"">Map</a>"
24.76857291,46.76804571,420,4,21115,7310489,0,"<ahref=""/mesure/map/1298838"">1</a>",WedMar0708:31:00+01002012,WedMar0708:31:00+01002012,TRUE,SaudiArabia,none,"<ahref=""/cell/show/1298838"">Show</a>","<ahref=""/cell/map/1298838"">Map</a>"
21.6103245,39.155966,420,3,2135,6641570,6000,"<ahref=""/mesure/map/1294476"">2</a>",SunMar0416:12:15+01002012,SunMar2519:18:40+02002012,FALSE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/1294476"">Show</a>","<ahref=""/cell/map/1294476"">Map</a>"
24.018472,38.261696,420,3,4338,43143,0,"<ahref=""/mesure/map/1275433"">1</a>",WedFeb2214:06:45+01002012,WedFeb2214:06:46+01002012,TRUE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/1275433"">Show</a>","<ahref=""/cell/map/1275433"">Map</a>"
21.380865,39.881107,420,3,2105,23762,6000,"<ahref=""/mesure/map/1262259"">1</a>",MonFeb1312:19:50+01002012,SunMar2521:58:22+02002012,FALSE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/1262259"">Show</a>","<ahref=""/cell/map/1262259"">Map</a>"
21.412834,39.864659,420,3,2104,26462,0,"<ahref=""/mesure/map/1249622"">1</a>",SatFeb0413:08:17+01002012,SatFeb0413:08:18+01002012,TRUE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/1249622"">Show</a>","<ahref=""/cell/map/1249622"">Map</a>"
21.422123,39.850709,420,1,701,62233,6000,"<ahref=""/mesure/map/1246617"">1</a>",ThuFeb0213:54:08+01002012,WedFeb1505:07:58+01002012,FALSE,SaudiArabia,SaudiTelecom/AlJawal,"<ahref=""/cell/show/1246617"">Show</a>","<ahref=""/cell/map/1246617"">Map</a>"
